,Date,Model,Type,Tokens,Sentiment
29,2020-06-26 21:17:00,Yeralin,Cam2Cam show,8,+?
26,2020-06-26 21:39:00,sisitay,Cam2Cam show,8,
21,2020-06-28 19:57:00,LillyParks,Cam2Cam show,8,
2,2020-07-01 10:16:00,klidi_01,Cam2Cam show,8,+
83,2020-07-04 13:04:00,AynnGauthier,Cam2Cam show,16,+
71,2020-07-07 16:09:00,miobella,Cam2Cam show,24,+
51,2020-07-11 09:40:00,girl_from_hardfuckland,Cam2Cam show,16,
31,2020-07-14 01:51:00,AshleyReyes1,Cam2Cam show,8,+
73,2020-07-19 10:40:00,KarolinaSia33,Cam2Cam show,16,
17,2020-07-23 03:19:00,MishellBrin,Cam2Cam show,8,
13,2020-07-23 04:03:00,AvisFlowers,Cam2Cam show,16,+
80,2020-07-26 02:32:00,SammyBluex,Cam2Cam show,8,+
27,2020-07-26 14:35:00,UrSweetLexly,Cam2Cam show,8,
11,2020-07-28 01:03:00,CrystalSpez,Cam2Cam show,8,
11,2020-08-13 09:15:00,BarbieDool,Cam2Cam show,8,+
91,2020-08-13 15:50:00,Lexie_Lexuss,Cam2Cam show,8,+
60,2020-08-13 17:05:00,Silviaass,Cam2Cam show,8,+
38,2020-08-13 22:36:00,maggiie,Cam2Cam show,8,+
54,2020-08-17 09:28:00,Emilia_Rojas,Cam2Cam show,16,+
12,2020-08-19 11:03:00,Tasty-Caramel,Cam2Cam show,16,+
72,2020-08-21 16:20:00,Christennia,Cam2Cam show,16,+
52,2020-08-29 12:31:00,sunshine_4,Cam2Cam show,8,+
10,2020-08-31 16:32:00,blackAAlisa,Cam2Cam show,8,
3,2020-08-31 16:49:00,bagira_magic,Cam2Cam show,8,
63,2020-09-04 00:33:00,Blondbb,Cam2Cam show,8,
34,2020-09-11 12:02:00,AimeeJee,Cam2Cam show,8,+?
6,2020-09-23 09:42:00,jennybaker,Cam2Cam show,16,+
71,2020-09-29 21:16:00,Ibiza_,Cam2Cam show,16,+
54,2020-10-23 10:51:00,BerryBlacky,Cam2Cam show,16,
39,2020-10-26 09:00:00,_Sailor_Moon_,Cam2Cam show,16,+
21,2020-11-02 11:38:00,-Light-Soul-,Cam2Cam show,16,
97,2020-11-13 14:28:00,JuicyYenn,Cam2Cam show,16,+?
80,2020-11-17 11:05:00,ErickaRuff,Cam2Cam show,16,
62,2020-11-23 15:29:00,BeccaRogers,Cam2Cam show,16,+?
34,2020-11-28 10:31:00,Violet_Kitty,Cam2Cam show,8,
22,2020-12-05 16:32:00,MaryStoch,Cam2Cam show,16,+
5,2020-12-15 14:46:00,lanataylor,Cam2Cam show,16,+
81,2020-12-18 11:05:00,linda_lees,Cam2Cam show,16,
61,2020-12-20 09:38:00,KellyWalter,Cam2Cam show,8,+
79,2021-01-02 14:49:00,AstridHotty,Cam2Cam show,8,
72,2021-01-02 20:10:00,KiraPie4U,Cam2Cam show,16,
58,2021-01-02 22:31:00,EricaRich22,Cam2Cam show,16,+?
64,2021-01-14 09:11:00,Kathleen_exotic,Cam2Cam show,16,
18,2021-01-23 18:40:00,KateFlamy,Cam2Cam show,16,
53,2021-01-29 10:01:00,KimmyJewels,Cam2Cam show,8,
36,2021-01-30 15:46:00,_Manul_,Cam2Cam show,16,
94,2021-02-04 14:22:00,Amy_Blair_,Cam2Cam show,16,+
