0,duration,count
social,307.5,74
ml,281.5,110
investments,78.0,29
real estate,69.0,26
money,58.0,22
learn,32.0,14
cleanup,30.5,15
planning,27.25,9
physics,13.0,4
think,13.0,5
economics,11.0,5
hungover,11.0,1
biology,10.0,5
history,9.5,4
haircut,9.0,8
read,9.0,7
poker,9.0,2
green card,8.0,3
shiran,7.5,4
categorize thoughts,7.0,3
work,6.5,3
interview,6.5,3
health,6.0,2
sick,5.5,1
watch,4.5,3
garageband,4.0,2
origin of letters,3.0,1
food,3.0,1
time use analysis,3.0,1
politics,2.5,1
donation,2.0,1
github tutorial,2.0,1
take car,2.0,1
billie jean,1.5,1
startup,1.0,1
preparations for flight,1.0,1
filemaker,1.0,1
מכתב לסבתא,0.5,1
