1,duration,count
deep learning,67.5,20
investments,56.5,22
nlp,51.0,19
quantopian,45.5,16
shiran,43.25,8
kaggle,27.5,12
deepmoney,21.0,10
email,17.0,6
taxes,15.5,5
coachella,15.0,4
check account,14.5,7
coursera,14.0,7
transliteration,13.5,7
yaron,13.0,1
beach + lunch,12.0,2
dekel,11.0,2
work,11.0,2
birmingham,11.0,5
unity,10.0,2
"tax expert cpa , attorney’s & financing for real estate",9.0,1
zipline,9.0,3
alamida county fair,9.0,1
napa,9.0,1
quantolpian,8.0,2
jonathan,8.0,1
course,7.0,3
transliteraton model,7.0,2
dolo + souvla,7.0,1
beers,7.0,3
credit card choise,6.5,2
time to freedom,6.5,2
halloween,6.0,2
ארוחת ערב משפחתית,6.0,3
folsom,6.0,1
history,6.0,2
beach,6.0,1
shabat dinner,6.0,2
geb,6.0,4
google course,6.0,6
sf decompression 2018: black top city!,6.0,1
baylearn2018,5.5,1
wedding,5.5,1
cpa investigation,5.0,1
humus + coffee + beach,5.0,1
humus w/ family,5.0,1
real estate,5.0,2
audio,5.0,1
jacks or better,5.0,1
shiran application,5.0,1
street fair,5.0,1
preparation,4.5,2
"join martin saenz, best selling author & national expert on note investing!",4.5,1
anniversary,4.5,1
bay area moguls,4.0,2
cookies,4.0,1
anrew ng,4.0,3
blackjack,4.0,1
verify vacancy rate from property management,4.0,1
rosh hashana,4.0,1
poker night,4.0,1
commodity market research,4.0,2
sivan,4.0,1
zohar,4.0,1
1600,4.0,2
600,4.0,1
deep money,4.0,1
"2nd law, origin of life",4.0,1
shiran's friend visit,4.0,1
movies,4.0,1
maya goodbye,4.0,1
automobile market,4.0,1
izik's birthday,3.75,1
csl holiday party,3.75,1
project management,3.5,1
synagogue,3.5,1
sign mortgage,3.5,1
collatz conjecture + time management,3.5,1
goodbye joey drinks,3.5,1
quantopia,3.5,1
friends from work,3.5,1
mati,3.25,1
notebook as a service alternatives,3.0,1
sign new contract,3.0,1
mint,3.0,1
mom's birthday,3.0,1
הזמנה: make money in cannabis real estate: understanding risk and opportunity sf wework,3.0,1
marc,3.0,1
why your rental property is leaving $$$ on the table & how to outperform  market,3.0,1
הזמנה: asset protection & tax reduction strategies for real estate investors + bootcamp,3.0,1
nutrition calculator,3.0,1
park,3.0,1
us gdp,3.0,1
respiration + photosynthesis,3.0,1
what to do for fun,3.0,1
presentation,3.0,1
tel aviv,3.0,1
+1,3.0,1
friday supper,3.0,1
kaggle tutorial,3.0,1
investing out of state (after all california is the best market ever)?,3.0,1
fundamentals of estate and asset protection & invest in real estate with sd,3.0,1
coachella prep,3.0,1
incognito,3.0,3
energy + transport,3.0,1
fakeswap,3.0,1
jupyter notebook cloud,3.0,1
khan academy,3.0,1
beer,3.0,1
hebbian learning,3.0,1
bathroom,3.0,3
barbecue,3.0,1
find resources for coding interviews for shiran,3.0,1
2018 real estate market outlook!,3.0,1
israel conflict,2.5,1
biggerpockets celebrity and authority on real estate–jay hinrichs. 21k posts!!!,2.5,1
pessaj,2.5,1
jimena,2.25,1
liad,2.25,1
cpa,2.0,1
disprove one way doors,2.0,1
compare crypto exchange,2.0,1
boomerang,2.0,1
bookmarks,2.0,1
eran,2.0,1
birthday w/ family,2.0,1
solve interview questions,2.0,1
find insurance,2.0,1
"mail: aws compensation, betterturnkey",2.0,1
analyze deal,2.0,2
shirans videos,2.0,1
זיכרון בסלון,2.0,1
hackbright,2.0,1
mail,2.0,1
passport photo,2.0,1
political view vs. gdp growth vs. federal spending,2.0,1
joe rogen,2.0,1
investment,2.0,1
how to research,2.0,1
how to read a financial report,2.0,1
marxism,2.0,1
set doctor appointments,2.0,1
origin of life,2.0,1
thanksgiving,1.75,1
הזמנה: investing out of state (after all california is the best market ever)?,1.5,1
find 3 agents in each market,1.5,1
boomerang application,1.5,1
sum per week,1.5,1
world history,1.5,1
find 3 markets,1.5,1
la casa de papel,1.25,1
trump,1.25,1
fix shiran's network issue,1.0,1
ib vs. robinhood,1.0,1
hanukkah on dec 5th at 4:30pm! save the date!,1.0,1
reading,1.0,1
american express,1.0,1
analyze deals,1.0,1
macro molecules,1.0,1
yc,1.0,1
buy and dump dividend stock,1.0,1
how to solve 90% nlp,1.0,1
kitchen,1.0,1
taxes reduction,1.0,1
bookmark solution,1.0,1
warren buffet letters,1.0,1
order credit card,1.0,1
uscis questions,1.0,1
origin of life investigation,1.0,1
"mail: coachell hotel, read articles",1.0,1
michael & julia,0.0,1
"stay at sls las vegas, a tribute portfolio resort",0.0,1
